uid,freq_download_last_21_days,freq_download_last_14_days,freq_download_last_7_days,freq_download_last_3_days,freq_download_last_1_days
167749584.0,18,16.0,16.0,16.0,16.0
167749648.0,13,13.0,2.0,2.0,
167749888.0,74,48.0,40.0,38.0,37.0
167750256.0,87,83.0,38.0,14.0,7.0
167750528.0,34,32.0,32.0,32.0,2.0
167751248.0,105,42.0,4.0,1.0,1.0
167751664.0,11,1.0,1.0,1.0,1.0
167752000.0,33,28.0,12.0,10.0,10.0
167752208.0,2,2.0,1.0,1.0,1.0
167752864.0,47,43.0,28.0,28.0,28.0
167753376.0,26,25.0,25.0,25.0,25.0
167753680.0,6,4.0,2.0,2.0,2.0
167753696.0,21,21.0,,,
167754432.0,22,21.0,9.0,8.0,6.0
167754800.0,46,2.0,2.0,2.0,2.0
167755040.0,5,5.0,,,
167755152.0,9,9.0,9.0,9.0,9.0
167756016.0,8,3.0,3.0,1.0,1.0
167756448.0,3,3.0,,,
167756912.0,2,2.0,,,
167757008.0,3,3.0,,,
167757312.0,74,65.0,2.0,1.0,1.0
167757472.0,22,14.0,10.0,9.0,6.0
167758384.0,30,18.0,5.0,,
167758544.0,23,4.0,4.0,4.0,4.0
167759008.0,2,1.0,,,
